Key,Price
PEN/MZN,154.90
IDR/MUR,476.65
IQD/CHF,17.49
LBP/XBA,402.29
CNY/SVC,355.30
DJF/XFU,87.68
TTD/XCD,101.25
MAD/STN,493.61
MAD/XAU,20.96
LBP/AOA,365.39
SYP/MVR,201.42
SCR/MKD,597.15
PEN/IRR,975.22
AWG/CVE,838.09
LYD/ERN,176.43
MGA/KES,242.56
MDL/AED,434.05
MNT/TWD,296.04
KES/KHR,12.13
BIF/XAG,106.47
MGA/BOB,177.97
SOS/PHP,739.85
XAU/MNT,127.66
ERN/COP,319.73
BSD/BWP,139.14
PAB/KPW,952.50
VEF/ZMK,642.38
VUV/PEN,673.71
BBD/ZAR,773.24
SHP/EEK,406.51
BIF/KYD,155.90
THB/HKD,340.86
MMK/SLL,346.52
JMD/RON,765.89
MRO/DOP,882.07
PKR/UAH,162.33
AED/QAR,621.89
IDR/ERN,513.59
XPF/AED,947.23
HUF/IDR,290.88
OMR/HUF,495.57
RSD/ANG,695.06
RWF/LTL,714.02
LRD/FKP,539.60
NOK/XBD,82.77
FJD/SGD,546.25
LKR/KHR,383.83
AFN/MWK,82.92
DZD/PGK,526.86
TOP/IDR,211.41
BAM/XPT,226.69
TWD/MMK,51.38
PLN/ISK,148.34
XPT/AOA,895.89
DJF/NIO,342.72
SAR/CNY,415.05
KRW/IRR,348.99
UZS/KMF,697.76
AUD/AED,263.15
KPW/PKR,402.81
GNF/BBD,445.30
MXN/LYD,427.55
AED/AUD,720.37
TJS/BGN,614.45
HRK/OMR,209.49
GIP/COP,860.56
GMD/CUC,250.63
HUF/TMT,209.33
TRY/HTG,956.02
MKD/ZWL,14.11
BDT/MVR,620.67
YER/YER,920.47
CZK/PKR,348.81
ETB/TMT,721.25
CZK/ILS,610.90
STN/XAG,482.92
BRL/BGN,25.83
TZS/SBD,588.07
PGK/MMK,236.96
HRK/LSL,592.88
BGN/LSL,568.67
UZS/BAM,559.45
MWK/BAM,146.85
EUR/NAD,561.83
JMD/CVE,179.82
MUR/MMK,104.52
BDT/INR,192.51
GEL/PGK,450.63
THB/BMD,423.17
MNT/AED,467.02
ARS/RWF,813.34
TMT/NOK,924.12
FJD/HRK,250.43
XFU/SCR,544.42
IDR/SRD,845.58
NOK/RON,68.03
SBD/IDR,974.69
XAG/LBP,99.57
BBD/UAH,330.10
KZT/MMK,222.21
SEK/PHP,295.63
BAM/BAM,174.50
TND/KGS,126.90
LKR/SCR,512.75
SBD/MMK,590.74
KHR/LRD,306.22
UGX/JMD,702.58
BRL/CVE,427.10
XAU/XAU,284.98
JPY/XBB,859.80
LSL/SGD,389.22
MMK/XOF,760.92
KPW/RSD,460.80
SOS/XPD,670.27
MWK/KPW,834.14
BGN/CUC,911.63
YER/SBD,280.70
KZT/THB,158.54
TTD/TOP,434.63
BZD/SEK,104.98
ILS/INR,668.05
BGN/SYP,800.00
EEK/CNY,786.17
GBP/ISK,489.00
XAF/TRY,200.77
IQD/XCD,696.55
SVC/AFN,670.03
PEN/MDL,804.38
SHP/BOB,875.67
CHF/XAF,542.87
BTN/GHS,508.23
GNF/NZD,926.26
DKK/BZD,257.96
XBA/KPW,14.76
PAB/IDR,297.26
XTS/BZD,394.16
WST/BDT,432.55
EEK/QAR,634.10
SVC/PAB,971.09
SGD/GYD,873.60
KHR/PYG,401.94
YER/CDF,765.42
ZAR/LAK,165.65
AFN/DJF,563.36
LSL/KYD,77.79
UYU/CRC,52.41
SGD/HTG,463.32
PHP/BOB,580.17
KES/BZD,710.28
UAH/CRC,959.73
BRL/XBB,787.33
GIP/BTN,816.15
GEL/BHD,664.94
SLL/BSD,225.13
XPF/MMK,554.16
MAD/BYR,495.63
TRY/TWD,388.33
ISK/SDG,637.90
THB/KZT,311.98
XPD/XBD,894.19
HNL/USD,636.19
PAB/TWD,898.19
BGN/THB,551.43
HRK/BTN,742.11
MYR/MKD,351.58
KRW/MGA,462.96
RWF/XTS,502.96
HKD/XPD,446.04
EEK/IRR,373.01
NZD/ZAR,439.98
RON/CZK,453.30
VND/AED,646.60
BZD/BBD,187.45
KRW/EGP,561.03
MMK/SZL,703.04
KPW/UZS,902.63
ZWL/EEK,634.35
ISK/ETB,222.81
SGD/OMR,411.21
MVR/MXN,148.36
BSD/SRD,233.23
KWD/UYU,89.86
DZD/PAB,94.10
SHP/ANG,915.94
TMT/XCD,755.54
MYR/EEK,692.08
XTS/XDR,261.32
IRR/ZWL,32.83
DKK/LKR,460.60
IQD/CZK,801.63
KGS/GIP,5.83
GIP/CNY,794.64
XPF/XBD,322.12
KGS/XPF,76.90
KES/AUD,237.42
CUC/NOK,503.75
HRK/JMD,213.99
KPW/UAH,423.54
AED/RON,211.79
GTQ/BZD,614.84
MZN/SLL,549.45
UGX/HRK,17.28
XCD/FJD,207.16
BGN/AMD,270.31
UAH/GMD,506.43
UGX/BZD,140.74
VUV/BWP,628.70
BBD/LVL,103.91
IQD/BSD,522.09
JOD/ZWL,651.53
AWG/XBD,861.28
JOD/BOB,165.53
UYU/CUP,226.70
LSL/FKP,163.62
NZD/LVL,660.97
KWD/MNT,546.32
GBP/JOD,804.09
ILS/BOB,635.49
KPW/SBD,986.57
LSL/HTG,659.50
ETB/RUB,201.63
HRK/GTQ,470.13
BTN/GBP,985.45
BTN/FKP,571.38
BSD/MZN,434.15
SZL/SOS,658.66
GEL/IDR,324.48
TOP/RUB,110.55
TJS/IRR,323.61
XCD/KGS,199.29
KMF/FKP,688.64
TOP/BSD,210.81
LTL/GIP,11.02
HTG/XBD,796.37
XBB/DJF,598.91
CUP/DZD,215.95
EGP/WST,882.70
BAM/UYU,823.79
NOK/UZS,409.51
BZD/BZD,614.80
XOF/DZD,63.38
BOB/MUR,157.41
XBA/VEF,510.74
CUC/CRC,809.07
FJD/SYP,940.35
LTL/MAD,840.30
TJS/NZD,567.95
USD/KPW,158.50
MWK/MXN,415.93
FKP/SAR,691.09
BOB/ILS,699.65
CZK/BHD,578.50
MZN/AED,436.96
TJS/XPD,552.29
MNT/EEK,413.20
CUC/XFU,79.32
ISK/AFN,31.83
XAF/PGK,635.79
RON/ZWL,836.16
UYU/SLL,847.77
HUF/INR,816.26
GEL/ZWL,518.15
AMD/CZK,780.30
KES/MXN,322.80
GYD/GNF,962.89
TMT/DJF,650.47
GIP/HRK,154.51
NOK/UYU,430.32
MGA/BHD,564.71
SOS/TOP,445.02
TZS/MXN,663.62
ETB/HTG,980.30
TJS/XFU,225.98
XOF/TJS,371.77
SZL/KMF,596.12
OMR/TND,44.22
WST/HNL,959.39
BTN/USD,176.38
KES/RSD,631.03
AMD/UGX,593.84
SRD/PEN,90.71
MYR/AZN,165.98
INR/NIO,694.62
AWG/COP,632.52
GBP/MKD,499.64
TND/BTN,110.14
XAG/CRC,773.85
IDR/HKD,458.73
USD/AFN,383.17
KYD/IDR,519.59
HKD/KWD,184.11
HRK/MNT,246.92
ISK/SOS,987.63
NGN/TZS,561.73
JPY/MXN,798.54
VND/XPF,545.23
KGS/KMF,377.11
XFU/AFN,187.94
HRK/PLN,846.18
UGX/BAM,289.88
KPW/DOP,685.80
ISK/MVR,137.63
BZD/UGX,593.79
USD/GMD,970.91
INR/BND,27.47
FKP/CUP,719.35
MYR/SRD,352.53
VUV/AED,65.20
QAR/PGK,956.17
JOD/XAU,368.98
BAM/GIP,119.93
MYR/EUR,855.45
AZN/DJF,4.76
EEK/TRY,242.32
AZN/BSD,757.07
XBD/XPT,650.28
LYD/CVE,823.52
BIF/STN,147.79
SRD/BOB,823.17
CZK/XBB,852.75
SBD/NPR,876.62
GYD/LYD,695.78
MUR/LBP,47.15
NPR/NIO,45.12
MKD/USD,260.91
STN/SVC,416.70
JPY/CAD,992.67
WST/XDR,664.24
XBC/MMK,573.22
KWD/CHF,50.89
XBA/TMT,667.12
ERN/AWG,771.46
UYU/XOF,330.20
AWG/NIO,341.14
CNY/MZN,908.05
BMD/MMK,953.08
GBP/ETB,572.19
RON/MXN,723.71
GNF/USD,605.05
ISK/BTN,780.28
LTL/GEL,757.61
BBD/RON,708.65
PLN/XDR,502.57
TRY/SCR,14.19
TND/SEK,399.66
TWD/NAD,328.66
NIO/NZD,242.16
ALL/STN,745.31
XTS/ZMK,804.67
PYG/BSD,148.26
BOB/ZAR,721.71
AFN/HKD,229.32
FKP/PHP,364.77
IRR/PYG,993.42
GBP/SOS,413.27
NAD/KWD,990.02
AOA/THB,90.47
MNT/SVC,548.67
SRD/LBP,710.00
BTN/BZD,610.77
BOB/MMK,726.68
BGN/CAD,688.28
LTL/XOF,491.97
XAF/MDL,905.27
LSL/KRW,701.86
TOP/AED,348.47
LYD/BMD,525.25
XFU/SGD,663.62
BHD/NPR,334.27
VUV/DOP,803.99
CRC/AUD,78.09
CRC/RSD,99.81
XFU/KGS,542.74
CAD/BYR,42.89
WST/XBD,95.14
MDL/SYP,167.97
KYD/FJD,193.21
JMD/DJF,32.96
BYR/QAR,645.46
TRY/XBC,932.25
NPR/MVR,174.55
NGN/NOK,247.36
VND/CUP,859.58
XDR/HTG,424.96
FKP/AZN,329.19
CDF/KHR,437.80
KMF/TRY,406.69
LBP/XOF,336.78
WST/CHF,927.87
RUB/TND,918.03
DZD/MGA,862.61
MGA/DZD,23.52
ERN/KYD,13.71
VND/SCR,994.28
XPF/BHD,53.60
MUR/TTD,69.33
VEF/FJD,216.68
ALL/AZN,597.29
AWG/SEK,312.33
NOK/TND,51.19
MNT/SYP,803.41
SDG/AOA,578.54
SAR/NGN,411.03
COP/AUD,0.68
MXN/XAG,70.17
MYR/XDR,621.90
GTQ/KYD,686.58
FJD/XDR,321.88
VEF/FKP,898.28
XCD/INR,245.30
KHR/PLN,796.81
BAM/ERN,57.51
CHF/XPF,903.21
EUR/BTN,777.76
CUP/MKD,436.22
PKR/LVL,479.32
TRY/EGP,828.70
RON/GTQ,67.01
GNF/SAR,576.09
GHS/MWK,264.06
LKR/YER,941.78
CVE/USD,188.48
DKK/ISK,735.74
RSD/TZS,416.25
VUV/MGA,941.38
PYG/TND,54.57
BWP/XAF,86.10
VUV/XOF,548.46
GYD/SHP,989.28
EEK/RSD,25.81
JOD/XAG,951.29
TZS/HRK,595.92
SZL/SRD,720.63
ILS/GYD,594.27
MKD/AOA,128.84
CNY/AOA,596.01
USD/XPT,836.33
MAD/AUD,858.90
GBP/SZL,354.80
CNY/KGS,707.29
BRL/JOD,751.22
RUB/MOP,84.81
XPT/NIO,438.50
SGD/RON,682.57
CHF/MYR,121.21
DOP/BAM,805.10
LTL/ZAR,120.32
XPD/XAF,235.95
BIF/MYR,558.06
XAG/NPR,574.29
UZS/NZD,240.63
BZD/XDR,149.67
SZL/JOD,21.21
RUB/RON,48.27
MGA/LTL,109.41
BHD/CDF,614.93
KHR/HNL,842.80
FKP/COP,994.78
GMD/GMD,59.30
KGS/AWG,15.60
CNY/XTS,535.80
SVC/XBC,138.12
ZWL/HTG,332.60
INR/MDL,872.46
KMF/TMT,294.01
AMD/XBC,200.90
BBD/NOK,336.88
EEK/GMD,308.93
BDT/CRC,648.92
XAG/HTG,840.21
NZD/XAU,642.99
THB/RWF,969.80
KGS/AMD,712.21
IDR/EEK,868.80
OMR/XBC,512.84
SAR/OMR,856.97
STN/KWD,749.98
KES/LSL,53.17
JMD/GYD,295.04
RUB/XOF,136.28
CLP/EGP,934.25
NAD/NGN,850.14
XPD/NIO,990.40
BND/LAK,415.00
TRY/KES,785.19
SRD/SBD,801.62
XBD/UYU,574.71
BIF/LSL,672.35
EGP/AZN,484.86
HTG/HUF,513.91
ZAR/CDF,753.21
FKP/DKK,841.55
BGN/TZS,799.60
XPD/CHF,339.20
MWK/SLL,171.49
KWD/PEN,613.10
GEL/GIP,752.21
XAG/VND,566.03
GBP/RSD,388.56
BTN/NZD,920.32
KHR/GEL,468.22
BYR/NGN,811.38
BTN/XTS,587.04
MVR/JOD,717.85
TWD/LSL,931.30
XCD/MOP,270.83
SYP/PHP,437.46
XBB/XDR,152.41
BMD/ETB,535.43
NPR/BYR,252.44
KWD/XDR,864.95
BHD/DZD,789.63
HTG/CAD,699.75
TJS/BWP,923.02
USD/CZK,81.35
DJF/ILS,685.66
HNL/ALL,147.72
BZD/CHF,917.60
BND/MXN,87.28
XBC/XBC,492.40
RSD/ZWL,626.19
MGA/TRY,664.53
ILS/SYP,824.07
BBD/KYD,135.00
UYU/NIO,87.00
GTQ/LBP,801.44
GIP/BZD,170.20
PKR/RON,373.01
TND/NGN,697.32
MWK/XBB,899.75
ANG/UZS,104.76
CAD/CUP,183.94
XFU/XFU,664.61
MUR/UYU,374.72
GIP/KHR,668.06
STN/ARS,122.87
BND/PGK,263.11
EEK/CUP,272.55
DOP/ZWL,483.70
HUF/HKD,514.36
KHR/UYU,364.16
XPT/TWD,422.30
CNY/PLN,136.92
DKK/MWK,232.43
AED/CHF,648.96
BND/XAU,963.59
SOS/GNF,141.80
CHF/SHP,876.57
BHD/SHP,257.85
PYG/VND,485.83
MWK/DOP,465.38
MOP/MNT,834.61
BGN/GHS,478.76
GTQ/DKK,896.16
KHR/MDL,294.13
AOA/BOB,803.69
RUB/XTS,987.31
PKR/PAB,452.03
XBC/NAD,630.86
MOP/WST,129.86
KES/VND,100.62
BBD/PAB,64.45
MGA/SHP,455.09
EGP/MAD,635.68
INR/BMD,147.67
SDG/IQD,681.01
OMR/DZD,125.02
CUC/XPT,325.03
TZS/HNL,254.96
VUV/YER,958.48
KYD/ZWL,422.55
FJD/MRO,875.17
MYR/TMT,433.90
JPY/COP,572.92
MWK/ERN,128.24
LKR/SVC,203.88
HRK/CUC,527.60
XAF/SLL,591.65
MYR/DZD,486.05
RUB/TMT,123.41
XPD/XOF,659.64
SVC/TND,293.63
BYR/BAM,115.16
WST/COP,211.49
MVR/VND,434.37
XCD/MNT,270.15
XBA/NZD,705.19
MOP/DZD,768.45
CAD/XBD,80.59
INR/TMT,864.37
VEF/AUD,135.56
HUF/MWK,811.08
SVC/MMK,641.69
CUC/SAR,353.84
EGP/GTQ,413.74
SGD/BND,299.71
NPR/CDF,967.21
JMD/LYD,501.24
TZS/XAF,84.75
TND/SAR,967.95
PAB/AWG,838.57
CLP/FKP,816.77
EEK/ISK,621.61
LYD/SOS,299.37
COP/MUR,63.28
BYR/SLL,590.20
BZD/BRL,400.71
EGP/IDR,905.84
PHP/SCR,767.93
GIP/AZN,90.24
BIF/PEN,276.09
MKD/SBD,395.66
MAD/EGP,965.98
ZAR/BZD,507.45
UZS/XPT,470.21
MXN/MYR,806.99
SVC/ZAR,949.29
DZD/HNL,243.60
NGN/NZD,201.31
TMT/MWK,877.53
XBC/MRO,975.83
LSL/GEL,356.57
JOD/PKR,244.43
TJS/KRW,390.59
CAD/XAF,822.92
DOP/KYD,611.47
TND/AFN,233.48
KMF/GIP,80.06
XAF/HRK,159.18
MKD/BDT,828.53
AMD/BZD,236.67
RSD/XPD,26.36
GBP/XAU,506.90
EEK/AED,518.10
MKD/PYG,284.84
TRY/TOP,842.87
UAH/FKP,672.02
ANG/RUB,815.78
MDL/RUB,148.21
EUR/BGN,844.17
IQD/THB,869.43
HKD/SVC,799.35
CAD/KHR,0.52
JOD/MRO,990.35
AUD/ALL,588.28
MDL/TMT,739.89
XPT/GMD,845.09
AUD/BTN,134.24
AMD/PKR,883.63
NAD/LTL,606.75
KRW/IQD,350.42
LTL/NOK,723.61
NOK/MWK,299.93
NAD/BDT,207.22
HKD/BBD,992.12
JOD/ALL,482.00
LTL/BWP,572.34
DKK/SGD,231.02
XAU/NIO,476.45
BSD/BGN,451.81
KHR/SHP,356.72
BSD/NOK,320.66
THB/RON,746.65
DOP/XBA,939.40
BAM/XPF,853.57
STN/COP,249.72
MZN/LVL,888.77
XOF/INR,447.88
KYD/SGD,222.61
DOP/TWD,627.34
EUR/RWF,134.97
LSL/XDR,133.51
UGX/QAR,95.40
TOP/KGS,357.15
TMT/IQD,8.10
MUR/JOD,176.47
XOF/TZS,356.05
XAU/AUD,254.08
PGK/ETB,802.31
TND/MVR,83.03
SZL/AFN,766.38
CUP/TTD,99.24
GIP/BND,196.43
LRD/HTG,552.44
AOA/KWD,478.10
LKR/PAB,513.06
PEN/LAK,726.44
MGA/ETB,299.67
MYR/MWK,525.98
LYD/SGD,802.84
XAF/LVL,270.53
PLN/NPR,441.01
BOB/NPR,339.33
BGN/AUD,696.40
QAR/BND,487.45
XTS/MAD,548.77
XCD/TJS,52.70
AED/ISK,61.12
CLP/BSD,136.78
COP/LVL,338.56
BWP/UGX,851.12
BRL/NIO,256.29
GBP/HKD,471.78
MVR/KHR,216.92
NZD/CDF,628.22
ZAR/AZN,942.78
MRO/HTG,199.13
TOP/PHP,815.65
IRR/YER,125.95
PKR/PKR,318.26
BBD/MDL,428.71
NGN/CVE,393.42
RUB/PAB,685.43
IRR/GIP,257.48
SLL/PAB,124.23
NOK/XOF,194.21
ZMK/STN,461.30
WST/WST,340.51
SAR/AZN,523.29
BOB/UZS,589.10
JPY/EGP,921.90
AOA/DKK,419.77
USD/CAD,356.81
XDR/JOD,693.96
COP/XAF,794.17
KYD/ETB,399.00
BGN/CZK,869.70
AOA/NPR,459.32
MWK/AOA,123.78
PEN/XBC,294.93
MNT/EGP,117.30
KYD/MUR,463.75
KES/GMD,231.91
RUB/SRD,369.17
NAD/NPR,187.61
MWK/LKR,940.14
IQD/RON,80.66
LTL/AED,261.19
LVL/KYD,884.84
SZL/SDG,783.66
PKR/SRD,100.54
AED/NPR,710.33
VUV/TOP,676.89
ALL/MWK,952.27
SEK/NAD,12.30
GBP/MGA,945.92
TZS/ILS,10.97
XPF/LTL,229.97
BAM/BDT,424.54
SLL/WST,858.48
CAD/DOP,599.82
MKD/MNT,796.27
UGX/IRR,815.27
SGD/SYP,262.03
MOP/MMK,475.30
PYG/BIF,491.86
BIF/MZN,899.48
SEK/ISK,777.82
AMD/XAU,422.74
MRO/BGN,229.22
SRD/TZS,73.08
ALL/PKR,739.81
UYU/BTN,691.87
GHS/NOK,831.02
YER/CAD,200.96
TJS/MAD,964.96
CHF/NZD,161.51
PLN/BGN,316.25
PAB/MZN,69.87
BRL/IQD,184.09
XTS/CAD,113.55
YER/ARS,200.11
NPR/CRC,455.67
CRC/GIP,739.63
XOF/XBA,488.55
SVC/QAR,211.57
SCR/BHD,742.89
YER/KYD,404.54
XAG/PAB,681.66
VUV/HTG,848.26
XBC/GNF,388.02
XAF/ZWL,639.73
XAG/XPF,34.78
BBD/MOP,265.29
HUF/GHS,695.11
LRD/DOP,321.03
PYG/GYD,648.48
MXN/SBD,969.88
BAM/BOB,893.87
EGP/YER,695.75
LKR/GHS,40.66
CZK/CLP,302.84
TZS/AZN,838.44
SOS/VEF,655.62
NPR/LKR,710.58
AZN/ALL,360.74
BSD/TND,18.46
ISK/CDF,845.87
IQD/UYU,751.31
TMT/RON,47.34
RUB/OMR,784.41
SYP/WST,694.72
BRL/MDL,160.10
BSD/KPW,240.45
INR/AUD,744.93
KGS/HNL,399.71
SGD/KHR,340.60
TMT/ZMK,75.64
FKP/XAF,773.48
MKD/SRD,263.73
FJD/XPT,748.97
MUR/SEK,494.93
LVL/GBP,96.16
BSD/BTN,574.49
CAD/HRK,841.20
XBB/XPT,433.34
EUR/KHR,705.03
RON/NOK,426.58
LTL/JPY,135.91
RUB/UYU,879.92
MAD/ISK,316.48
KRW/EEK,191.63
XFU/AED,422.38
XPD/XTS,374.11
BAM/GTQ,143.43
UYU/KRW,810.71
MKD/UAH,361.67
HTG/CRC,800.04
MRO/INR,29.05
BDT/SHP,127.82
BGN/ANG,193.11
COP/RON,897.02
HNL/XBB,653.23
AOA/UZS,634.32
KES/AWG,63.85
BOB/ISK,693.30
PHP/NIO,479.63
TWD/BOB,794.33
CNY/LSL,520.36
DOP/LVL,295.40
UAH/ILS,980.43
KWD/AFN,572.84
LKR/ISK,196.40
GHS/XBD,630.14
OMR/HRK,946.78
DZD/LAK,545.73
LBP/SZL,206.69
COP/DZD,263.96
AOA/YER,814.43
MDL/LAK,277.24
MUR/TOP,655.71
BND/KZT,591.88
NGN/LKR,709.96
UYU/RSD,871.39
KWD/BMD,730.86
XCD/CRC,592.78
NZD/DOP,272.34
CAD/TMT,785.99
MNT/PYG,97.02
BSD/THB,934.22
LYD/ANG,38.05
SGD/STN,540.56
AFN/XDR,46.59
KHR/MNT,645.66
SGD/GNF,70.62
HUF/XBA,851.95
LKR/HRK,841.70
ALL/XTS,461.84
SRD/CDF,510.64
IRR/LAK,147.90
KHR/BZD,953.71
UYU/NZD,910.70
TJS/CUC,906.22
MYR/DKK,840.52
CNY/DJF,899.49
SDG/CVE,743.64
KRW/AZN,995.22
MVR/XBA,792.24
CAD/UYU,427.33
LKR/XBA,597.70
SEK/SEK,604.02
CUC/SDG,97.71
GYD/RSD,985.62
XPF/MRO,751.82
PAB/NAD,472.11
MXN/HNL,601.23
YER/CUC,187.07
GNF/TZS,781.84
LAK/HTG,903.46
AED/AZN,471.07
XPF/KPW,420.97
BAM/JOD,693.65
GYD/MRO,697.32
CHF/SLL,586.14
LTL/MUR,257.35
ARS/VEF,439.88
TOP/COP,526.25
